Metric,SVM Mean,NeuralNetwor Mean,SVM CI（95%）,NeuralNetwor CI（95%）
Accuracy,0.6500820425772689,0.6894405544946602,0.6501 ± 0.0098,0.6894 ± 0.0049
Precision,0.6416417218970624,0.6778219232824592,0.6416 ± 0.0094,0.6778 ± 0.0056
Sensitivity (Recall),0.6853085544048803,0.7184057814223959,0.6853 ± 0.0193,0.7184 ± 0.0129
F1 Score,0.6587393274179036,0.6974945329130949,0.6587 ± 0.0116,0.6975 ± 0.0073
ROC AUC,0.7056111299084928,0.7583261848846261,0.7056 ± 0.0133,0.7583 ± 0.0061
TN,4360.77,4685.0,4360.7700 ± 129.8459,4685.0000 ± 42.7172
FP,2729.23,2406.3333333333335,2729.2300 ± 129.8459,2406.3333 ± 42.7222
FN,2218.26,1984.6666666666667,2218.2600 ± 135.8246,1984.6667 ± 96.7198
TP,4830.74,5063.0,4830.7400 ± 135.8246,5063.0000 ± 97.6138
