Metric,SVM Mean,NeuralNetwor Mean,SVM CI（95%）,NeuralNetwor CI（95%）
Accuracy,0.6497552867953891,0.6924110616026593,0.6498 ± 0.0120,0.6924 ± 0.0044
Precision,0.6682730547266261,0.6624934250726594,0.6683 ± 0.0117,0.6625 ± 0.0059
Sensitivity (Recall),0.6244786494538226,0.7843021509000959,0.6245 ± 0.0403,0.7843 ± 0.0060
F1 Score,0.6183276697425061,0.7182497228391928,0.6183 ± 0.0274,0.7182 ± 0.0028
ROC AUC,0.6675103313677124,0.7201027621170321,0.6675 ± 0.0162,0.7201 ± 0.0065
TN,4784.94,4246.666666666667,4784.9400 ± 181.9580,4246.6667 ± 102.2482
FP,2305.06,2824.0,2305.0600 ± 181.9580,2824.0000 ± 47.9032
FN,2647.05,1525.0,2647.0500 ± 283.8311,1525.0000 ± 68.6560
TP,4401.95,5543.333333333333,4401.9500 ± 283.8311,5543.3333 ± 60.6897
