Metric,SVM Mean,NeuralNetwor Mean,SVM CI（95%）,NeuralNetwor CI（95%）
Accuracy,0.721923756984228,0.7547681354174034,0.7219 ± 0.0034,0.7548 ± 0.0051
Precision,0.7088358489983351,0.7287238547184961,0.7088 ± 0.0029,0.7287 ± 0.0005
Sensitivity (Recall),0.7515562491133494,0.810827854507557,0.7516 ± 0.0095,0.8108 ± 0.0078
F1 Score,0.728619634473861,0.7675786302248392,0.7286 ± 0.0050,0.7676 ± 0.0037
ROC AUC,0.7955762225373426,0.830444701301797,0.7956 ± 0.0036,0.8304 ± 0.0043
TN,4909.56,4946.333333333333,4909.5600 ± 43.4686,4946.3333 ± 99.3325
FP,2180.44,2131.3333333333335,2180.4400 ± 43.4686,2131.3333 ± 22.6416
FN,1751.28,1336.0,1751.2800 ± 66.9729,1336.0000 ± 64.7987
TP,5297.72,5725.333333333333,5297.7200 ± 66.9729,5725.3333 ± 54.8138
