Metric,SVM Mean,NeuralNetwor Mean,SVM CI（95%）,NeuralNetwor CI（95%）
Accuracy,0.6664042718721275,0.6997666030129429,0.6664 ± 0.0054,0.6998 ± 0.0045
Precision,0.648198071453808,0.6862092270176524,0.6482 ± 0.0046,0.6862 ± 0.0032
Sensitivity (Recall),0.7238615406440624,0.7323530920440615,0.7239 ± 0.0075,0.7324 ± 0.0069
F1 Score,0.6836687436295168,0.7085285329414296,0.6837 ± 0.0054,0.7085 ± 0.0049
ROC AUC,0.7050396074946664,0.7561417512710724,0.7050 ± 0.0090,0.7561 ± 0.0029
TN,4319.79,4734.333333333333,4319.7900 ± 46.3400,4734.3333 ± 39.5307
FP,2770.21,2359.3333333333335,2770.2100 ± 46.3400,2359.3333 ± 15.3638
FN,1946.5,1885.6666666666667,1946.5000 ± 52.6699,1885.6667 ± 49.6662
TP,5102.5,5159.666666666667,5102.5000 ± 52.6699,5159.6667 ± 52.0703
