Metric,SVM Mean,NeuralNetwor Mean,SVM CI（95%）,NeuralNetwor CI（95%）
Accuracy,0.6576094490416581,0.6819671358181861,0.6576 ± 0.0027,0.6820 ± 0.0044
Precision,0.6462543789671092,0.6839536172237559,0.6463 ± 0.0029,0.6840 ± 0.0082
Sensitivity (Recall),0.6926968364306988,0.6692189516223547,0.6927 ± 0.0036,0.6692 ± 0.0132
F1 Score,0.6685394747849014,0.6764943010272352,0.6685 ± 0.0026,0.6765 ± 0.0103
ROC AUC,0.7380074279559501,0.7488821399908231,0.7380 ± 0.0006,0.7489 ± 0.0042
TN,4415.12,4938.666666666667,4415.1200 ± 30.0148,4938.6667 ± 95.3867
FP,2674.88,2172.6666666666665,2674.8800 ± 30.0148,2172.6667 ± 27.2605
FN,2166.18,2324.0,2166.1800 ± 25.3984,2324.0000 ± 65.2810
TP,4882.82,4703.666666666667,4882.8200 ± 25.3984,4703.6667 ± 156.6625
